stage,treatment,date
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-12 00:09:06
stage3,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-12 00:10:08
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-12 01:50:09
stage2,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-13 13:43:43
stage3,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-13 13:51:52
stage3,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-13 13:52:23
stage2,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-13 13:52:40
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-13 13:53:00
stage4,"['Wigs or hairpieces', 'Scalp micropigmentation services', 'Scalp care products for maintaining a healthy scalp']",2024-03-13 13:53:34
stage4,"['Wigs or hairpieces', 'Scalp micropigmentation services', 'Scalp care products for maintaining a healthy scalp']",2024-03-13 13:54:10
stage4,"['Wigs or hairpieces', 'Scalp micropigmentation services', 'Scalp care products for maintaining a healthy scalp']",2024-03-13 22:02:24
stage3,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-15 11:09:10
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 11:15:21
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 11:15:52
stage2,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-15 11:16:10
stage3,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-15 11:16:23
stage4,"['Wigs or hairpieces', 'Scalp micropigmentation services', 'Scalp care products for maintaining a healthy scalp']",2024-03-15 11:16:37
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 17:08:07
stage4,"['Wigs or hairpieces', 'Scalp micropigmentation services', 'Scalp care products for maintaining a healthy scalp']",2024-03-15 19:27:11
stage4,"['Wigs or hairpieces', 'Scalp micropigmentation services', 'Scalp care products for maintaining a healthy scalp']",2024-03-15 19:45:14
stage4,"['Wigs or hairpieces', 'Scalp micropigmentation services', 'Scalp care products for maintaining a healthy scalp']",2024-03-15 19:48:45
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 20:07:52
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 20:13:41
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 20:18:48
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 20:19:38
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 20:24:27
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 20:26:55
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-15 21:58:20
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 22:34:47
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 22:36:43
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 22:43:33
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 22:49:14
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 22:49:35
